slug,city,province,province_abbr,population,solar_irradiance,avg_sun_hours,avg_electricity_rate,incentive_program,incentive_detail,climate_zone,avg_system_cost,avg_annual_savings,payback_years
lethbridge,Lethbridge,Alberta,AB,105000,1370,4.3,17.0,Alberta Municipal Solar Program,Lethbridge ranks among Canada's sunniest cities; Alberta's net metering program combined with high electricity rates delivers some of the country's best solar payback periods.,Semi-Arid,26000,2430,10
medicine-hat,Medicine Hat,Alberta,AB,65000,1400,4.5,17.0,Alberta Municipal Solar Program,Medicine Hat holds the distinction of being one of Canada's sunniest cities; Alberta net metering and high electricity rates make solar exceptionally cost-effective here.,Semi-Arid,26000,2490,10
grande-prairie,Grande Prairie,Alberta,AB,65000,1260,3.9,17.0,Alberta Municipal Solar Program,Alberta's net metering program and competitive electricity market benefit Grande Prairie homeowners; though farther north the city still receives strong summer solar output.,Subarctic,25500,2250,11
st-johns,St. John's,Newfoundland and Labrador,NL,115000,1080,3.3,14.0,Newfoundland NL Net Metering,NL Power's net metering program allows residential solar customers to earn credits for surplus generation; improving panel efficiency makes cloudy-climate solar viable.,Humid Continental,24000,1610,14
fredericton,Fredericton,New Brunswick,NB,65000,1140,3.5,13.5,NB Power Net Metering,NB Power's net metering program credits solar customers for surplus generation at retail rates; New Brunswick's moderate electricity prices support viable solar returns.,Humid Continental,23500,1690,13
moncton,Moncton,New Brunswick,NB,90000,1160,3.6,13.5,NB Power Net Metering,NB Power offers net metering to residential solar customers; Moncton's growing population and new housing stock present a strong market for rooftop solar installations.,Humid Continental,23500,1710,13
saint-john,Saint John,New Brunswick,NB,70000,1150,3.5,13.5,NB Power Net Metering,Saint John homeowners can participate in NB Power's net metering program; the Canada Greener Homes Grant further reduces the upfront cost of solar panel systems.,Humid Continental,23500,1690,13
charlottetown,Charlottetown,Prince Edward Island,PE,40000,1160,3.6,18.0,PEI Net Metering,PEI Energy's net metering program and Canada's highest residential electricity rates make Prince Edward Island one of the fastest solar payback provinces in Canada.,Humid Continental,24000,2050,11
thunder-bay,Thunder Bay,Ontario,ON,110000,1200,3.7,13.0,Canada Greener Homes Grant,Ontario's net metering policy and the federal Greener Homes Grant provide Thunder Bay homeowners with financial tools to offset the upfront cost of solar systems.,Humid Continental,24500,1800,13
sudbury,Sudbury,Ontario,ON,165000,1190,3.6,13.0,Canada Greener Homes Grant,Greater Sudbury residents can access Ontario net metering and the federal Greener Homes Grant; Northern Ontario's open terrain is well-suited for ground-mounted solar arrays.,Humid Continental,24500,1780,13
kingston,Kingston,Ontario,ON,140000,1240,3.8,13.0,Canada Greener Homes Grant,Kingston benefits from Ontario net metering and the Canada Greener Homes Grant; proximity to the St. Lawrence River does not diminish the city's strong solar potential.,Humid Continental,24500,1830,13
windsor,Windsor,Ontario,ON,225000,1260,3.9,13.0,Canada Greener Homes Grant,Windsor receives the highest solar irradiance of any Ontario city; combined with the province's net metering program and federal grants solar ROI is excellent here.,Humid Continental,24500,1870,13
barrie,Barrie,Ontario,ON,155000,1220,3.7,13.0,Canada Greener Homes Grant,Barrie homeowners can combine Ontario net metering credits with the Canada Greener Homes Grant; the city's suburban layout supports large rooftop solar installations.,Humid Continental,24500,1800,13
guelph,Guelph,Ontario,ON,145000,1220,3.7,13.0,Canada Greener Homes Grant,Guelph has a progressive sustainability culture; Ontario net metering and the federal Greener Homes Grant make rooftop solar a natural fit for the city's homeowners.,Humid Continental,24500,1800,13
oshawa,Oshawa,Ontario,ON,175000,1230,3.8,13.0,Canada Greener Homes Grant,Ontario's net metering program and the Canada Greener Homes Grant support solar adoption in Oshawa; the city's detached housing stock offers ample rooftop solar potential.,Humid Continental,24500,1820,13
cambridge,Cambridge,Ontario,ON,145000,1220,3.7,13.0,Canada Greener Homes Grant,Cambridge residents benefit from Ontario net metering and the Canada Greener Homes Grant of up to $5000; the Waterloo Region's tech community is driving solar adoption.,Humid Continental,24000,1800,13
whitby,Whitby,Ontario,ON,140000,1230,3.8,13.0,Canada Greener Homes Grant,Whitby's suburban setting and Ontario net metering make it ideal for rooftop solar; the Canada Greener Homes Grant reduces upfront system costs by up to $5000.,Humid Continental,24500,1820,13
nanaimo,Nanaimo,British Columbia,BC,100000,1260,4.0,12.0,BC Net Metering Program,Nanaimo on Vancouver Island benefits from BC Hydro's net metering program; the city's comparatively sunny climate relative to the BC coast makes solar investments worthwhile.,Oceanic,24000,1740,13
kamloops,Kamloops,British Columbia,BC,100000,1400,4.5,12.0,BC Net Metering Program,Kamloops is one of BC's sunniest cities with high annual irradiance; BC Hydro net metering and growing electricity demand make it a strong solar investment market.,Semi-Arid,24000,1960,12
prince-george,Prince George,British Columbia,BC,75000,1200,3.7,12.0,BC Net Metering Program,Prince George homeowners can join BC Hydro's net metering program; despite its northern location the city's summer sun intensity supports productive solar generation.,Subarctic,24500,1700,14
chilliwack,Chilliwack,British Columbia,BC,100000,1230,3.8,12.0,BC Net Metering Program,Chilliwack's location in the Fraser Valley offers good solar potential; BC Hydro's net metering program enables homeowners to offset electricity costs year-round.,Oceanic,24000,1720,14
cape-breton,Cape Breton,Nova Scotia,NS,90000,1120,3.4,16.5,Nova Scotia Solar Rebate Program,Nova Scotia's SolarHomes rebate program and net metering policy apply to Cape Breton homeowners; coastal winds can be paired with solar for enhanced energy self-sufficiency.,Humid Continental,24000,1820,13
yarmouth,Yarmouth,Nova Scotia,NS,30000,1140,3.5,16.5,Nova Scotia Solar Rebate Program,The Nova Scotia SolarHomes program provides rebates of up to $3000 on residential solar installations; Yarmouth's southern location gives it among the highest irradiance in NS.,Humid Continental,23500,1840,12
truro,Truro,Nova Scotia,NS,45000,1150,3.5,16.5,Nova Scotia Solar Rebate Program,Nova Scotia's solar rebate and net metering programs benefit Truro homeowners; as the province's geographic hub Truro supports strong solar installer competition and pricing.,Humid Continental,23500,1840,12
moose-jaw,Moose Jaw,Saskatchewan,SK,35000,1330,4.2,16.0,SaskPower Net Metering,SaskPower's net metering program and Saskatchewan's high electricity rates support solar adoption; Moose Jaw's prairie setting maximizes unobstructed rooftop solar exposure.,Semi-Arid,25000,2180,11
prince-albert,Prince Albert,Saskatchewan,SK,37000,1300,4.0,16.0,SaskPower Net Metering,Prince Albert homeowners benefit from SaskPower's net metering program; Saskatchewan's flat terrain and clear skies make it one of Canada's best solar generation environments.,Humid Continental,25000,2130,11
